X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Class
857,865,211983,211993,52,8,10,9968,178,207,1387,0,1,40,0.7527,0.35,0.8,0.0058,1.0,1.0,1.0,1.716,0.9031,1.0,0.2,0.4976,0.1852,0
905,916,1046618,1046624,41,12,7,4162,88,117,1687,1,0,100,0.914,0.3788,0.5454,0.0065,0.9167,0.8571,0.0,1.6128,1.0414,0.7782,-0.4545,-0.2069,0.1715,1
39,210,2449833,2449893,5816,273,132,618320,51,127,1358,0,1,40,0.0574,0.4331,0.3509,0.1259,0.6264,0.4545,0.0,3.7646,2.233,1.7781,-0.6491,-0.1694,1.0,0
237,262,95111,95180,714,79,78,65282,80,103,1692,0,1,300,0.2801,0.5861,0.3623,0.0148,0.3165,0.8846,1.0,2.8537,1.3979,1.8389,0.6377,-0.2857,0.9999,1
78,94,1523381,1523431,463,69,54,60518,118,141,1360,0,1,130,0.1147,0.4212,0.32,0.0118,0.2319,0.9259,1.0,2.6656,1.2041,1.699,0.68,0.0212,0.965,1
39,214,2027555,2027621,6592,265,125,687299,44,124,1356,0,1,40,0.0575,0.4293,0.3771,0.1291,0.6604,0.528,0.0,3.819,2.243,1.8195,-0.6229,-0.1855,1.0,0
80,210,7318386,7318440,4071,177,99,439881,56,127,1360,0,1,40,0.1177,0.4201,0.4154,0.0956,0.7345,0.5454,0.0,3.6097,2.1139,1.7324,-0.5846,-0.1558,1.0,0
741,756,614880,614919,392,19,39,40498,77,127,1360,1,0,150,0.8882,0.3299,0.3846,0.011,0.7895,1.0,1.0,2.5933,1.1761,1.5911,0.6154,-0.1929,0.8682,1
41,196,1494534,1494716,12729,634,404,1482862,29,143,1400,0,1,40,0.0586,0.5488,0.8516,0.1107,0.2445,0.4505,1.0,4.1048,2.1903,2.2601,0.1484,-0.0899,1.0,0
1,8,111151,111213,318,12,62,21582,19,99,1687,1,0,80,0.0012,0.2673,0.1129,0.0041,0.5833,1.0,1.0,2.5024,0.8451,1.7924,0.8871,-0.4698,0.7065,1
217,225,199985,200008,117,19,24,16891,135,156,1353,0,1,100,0.3208,0.3641,0.3478,0.0059,0.4211,0.9583,1.0,2.0682,0.9031,1.3617,0.6522,0.1279,0.3125,1
803,825,107491,107508,181,27,20,17363,84,109,1354,0,1,40,0.7814,0.516,0.7727,0.0162,0.8148,0.85,0.0,2.2577,1.3424,1.2305,-0.2273,-0.2506,0.6173,1
129,162,419384,419405,289,64,37,34165,109,133,1358,0,1,175,0.19,0.583,0.6364,0.0243,0.5156,0.5676,0.0,2.4609,1.5185,1.3222,-0.3636,-0.0764,0.9312,1
39,212,2730163,2730230,6108,299,149,635284,40,125,1356,0,1,40,0.0575,0.473,0.3873,0.1276,0.5786,0.4497,0.0,3.7859,2.238,1.8261,-0.6127,-0.1874,1.0,0
156,163,48235,48244,36,8,9,6430,172,189,1353,0,1,200,0.2306,0.4286,0.7778,0.0052,0.875,1.0,1.0,1.5563,0.8451,0.9542,0.2222,0.3954,0.1687,1
469,492,3881283,3881300,155,28,17,17114,92,129,1650,1,0,70,0.5685,0.6036,0.7391,0.0139,0.8214,1.0,0.0,2.1903,1.3617,1.2305,-0.2609,-0.1374,0.6438,1
41,187,2112377,2112542,9349,659,387,1068391,38,140,1402,0,1,40,0.0585,0.6119,0.8849,0.1041,0.2216,0.4264,1.0,3.9708,2.1644,2.2175,0.1151,-0.1072,1.0,0
215,340,109058,109106,3630,173,100,292575,35,108,1666,0,1,40,0.2581,0.395,0.384,0.075,0.7225,0.48,0.0,3.5599,2.0969,1.6812,-0.616,-0.3703,1.0,0
936,944,639848,639857,65,9,9,11132,161,182,1387,0,1,40,0.6388,0.0972,0.8889,0.0058,0.8889,1.0,1.0,1.8129,0.9031,0.9542,0.1111,0.338,0.1773,0
1331,1344,397980,398111,788,67,137,65200,61,96,1353,0,1,70,0.0133,0.5373,0.0992,0.0096,0.194,0.9562,1.0,2.8965,1.1139,2.1173,0.9008,-0.3536,0.9999,1
654,661,1465420,1465433,55,13,13,6302,107,126,1354,0,1,40,0.966,0.3956,0.5385,0.0052,0.5385,1.0,1.0,1.7404,0.8451,1.1139,0.4615,-0.1048,0.1965,1
41,194,2339627,2339797,9183,602,355,1059263,40,141,1404,0,1,40,0.0584,0.6469,0.9,0.109,0.2542,0.4789,1.0,3.963,2.1847,2.2304,0.1,-0.0988,1.0,0
825,834,640704,640724,126,16,20,14429,103,132,1364,0,1,100,0.7771,0.3,0.45,0.0066,0.5625,1.0,1.0,2.1004,0.9542,1.301,0.55,-0.1053,0.3068,1
39,214,1914002,1914070,6615,244,131,684236,36,124,1358,0,1,40,0.0574,0.4441,0.3886,0.1289,0.7172,0.5191,0.0,3.8205,2.243,1.8325,-0.6114,-0.1919,1.0,0
39,215,3003398,3003466,6570,274,141,685255,40,119,1356,0,1,40,0.0575,0.451,0.3864,0.1298,0.6423,0.4823,0.0,3.8176,2.2455,1.8325,-0.6136,-0.1851,1.0,0
1155,1166,476876,476887,82,13,11,8745,77,133,1696,1,0,100,0.625,0.3223,1.0,0.0065,0.8461,1.0,0.5,1.9138,1.0414,1.0414,0.0,-0.1668,0.23,1
649,661,911696,911833,806,61,140,87496,83,132,1687,1,0,80,0.7694,0.5097,0.0876,0.0071,0.1967,0.9786,1.0,2.9063,1.0792,2.1367,0.9124,-0.1519,0.9999,1
1324,1333,75642,75681,207,25,39,21354,93,124,1353,0,1,120,0.0296,0.4103,0.2308,0.0066,0.36,1.0,1.0,2.316,0.9542,1.5911,0.7692,-0.1941,0.5805,1
39,190,611732,611792,5941,207,117,618605,45,126,1356,0,1,40,0.0575,0.3443,0.3974,0.1114,0.7295,0.5128,0.0,3.7739,2.179,1.7781,-0.6026,-0.1865,1.0,0
933,940,612662,612672,52,9,10,8857,161,182,1387,0,1,40,0.6446,0.2571,0.7,0.005,0.7778,1.0,1.0,1.716,0.8451,1.0,0.3,0.3307,0.1753,0
1327,1332,1738096,1738114,72,15,18,8542,111,132,1358,0,1,40,0.0383,0.2,0.2778,0.0037,0.3333,1.0,1.0,1.8573,0.699,1.2553,0.7222,-0.0731,0.1954,1
655,672,4212846,4212863,210,18,17,20438,48,126,1650,1,0,69,0.7939,0.2734,1.0,0.0103,0.9444,1.0,0.5,2.3222,1.2305,1.2305,0.0,-0.2397,0.4779,1
1595,1622,3127441,3127611,1421,239,204,162939,104,127,1692,0,1,70,0.0827,0.6904,0.1588,0.016,0.113,0.8333,1.0,3.1526,1.4314,2.2304,0.8412,-0.1042,1.0,1
41,216,2708878,2708939,6298,275,134,654634,42,126,1358,0,1,40,0.0604,0.41,0.3486,0.1289,0.6364,0.4552,0.0,3.7992,2.243,1.7853,-0.6514,-0.1879,1.0,0
1325,1339,30207,30238,268,29,31,25809,79,124,1353,0,1,120,0.0207,0.3825,0.4516,0.0104,0.4828,1.0,1.0,2.4281,1.1461,1.4914,0.5484,-0.2476,0.7065,1
39,182,65059,65121,4471,248,116,470165,39,135,1360,0,1,40,0.0573,0.4957,0.4336,0.1051,0.5766,0.5345,0.0,3.6504,2.1553,1.7924,-0.5664,-0.1785,1.0,0
15,29,1084661,1084680,128,17,21,14278,104,119,1373,0,1,40,0.0218,0.5188,0.7368,0.0102,0.8235,0.9048,1.0,2.1072,1.1461,1.2787,0.2632,-0.1285,0.4399,1
317,337,5082496,5082524,206,27,28,22484,95,127,1614,1,0,200,0.3928,0.6321,0.7143,0.0124,0.7407,1.0,1.0,2.3139,1.301,1.4472,0.2857,-0.1473,0.8479,1
1329,1340,12799,12804,39,11,7,4642,110,134,1353,0,1,200,0.0192,0.2909,0.4545,0.0081,1.0,0.7143,0.0,1.5911,1.0414,0.699,-0.5454,-0.0701,0.1613,1
768,918,370947,370955,660,153,61,89110,113,156,1360,1,0,80,0.65,0.45,0.0533,0.1103,0.9804,0.1312,0.0,2.8195,2.1761,0.9031,-0.9467,0.0548,0.9975,1
1082,1095,825488,825519,192,34,32,24530,120,140,1374,0,1,40,0.4061,0.5236,0.4193,0.0095,0.3823,0.9688,1.0,2.2833,1.1139,1.4914,0.5806,-0.0019,0.6619,1
153,163,28527,28542,91,16,16,9860,103,118,1364,0,1,40,0.2243,0.3933,0.6667,0.0073,0.625,0.9375,1.0,1.959,1.0,1.1761,0.3333,-0.1535,0.266,1
897,925,1410869,1410896,361,51,35,46442,121,143,1362,0,1,50,0.6417,0.5225,0.9643,0.0206,0.549,0.7714,0.0,2.5575,1.4472,1.4314,-0.0357,0.0051,0.9537,1
1070,1079,863518,863529,74,13,11,7842,78,132,1652,1,0,100,0.6937,0.2525,0.8182,0.0055,0.6923,1.0,1.0,1.8692,0.9542,1.0414,0.1818,-0.1721,0.2051,1
520,546,186833,186914,1006,120,96,116653,104,127,1392,0,1,220,0.7471,0.5223,0.321,0.0187,0.2167,0.8438,1.0,3.0026,1.415,1.9085,0.679,-0.0941,1.0,1
41,218,2187237,2187305,6010,257,123,626586,39,126,1358,0,1,40,0.0604,0.5007,0.3842,0.1303,0.6887,0.5529,0.0,3.7789,2.248,1.8325,-0.6158,-0.1855,1.0,0
28,36,3213793,3213815,124,16,22,14618,97,141,1658,1,0,100,0.0338,0.2955,0.3636,0.0048,0.5,1.0,1.0,2.0934,0.9031,1.3424,0.6364,-0.079,0.3012,1
1578,1592,178458,178484,168,36,29,18671,99,124,1692,0,1,300,0.1182,0.5385,0.5385,0.0083,0.3889,0.8965,1.0,2.2253,1.1461,1.415,0.4615,-0.1317,0.6015,1
250,373,3629947,3630060,6114,320,197,633741,40,134,1666,0,1,40,0.3001,0.5601,0.9187,0.0738,0.3844,0.5736,0.0,3.7863,2.0899,2.0531,-0.0813,-0.1902,1.0,0
1032,1046,404761,404774,111,24,17,14697,118,143,1690,1,0,150,0.7621,0.3901,0.9286,0.0083,0.5833,0.7647,0.0,2.0453,1.1461,1.1139,-0.0714,0.0344,0.3097,1
39,211,1292132,1292303,12012,607,362,1381722,30,141,1398,0,1,40,0.0558,0.5916,0.9942,0.123,0.2834,0.4724,0.0,4.0796,2.2355,2.233,-0.0058,-0.1013,1.0,0
159,172,7003,7020,126,21,29,23023,173,196,1353,0,1,100,0.235,0.4299,0.7647,0.0096,0.6191,0.5862,1.0,2.1004,1.1139,1.2305,0.2353,0.4275,0.3678,1
39,907,908650,908829,16469,929,568,1939163,27,143,1398,0,1,40,0.0558,0.894,0.2062,0.6209,0.9343,0.3151,0.0,4.2167,2.9385,2.2529,-0.7938,-0.0801,1.0,0
265,276,183293,183331,227,22,38,32920,135,158,1353,0,1,100,0.3917,0.4569,0.2895,0.0081,0.5,1.0,1.0,2.356,1.0414,1.5798,0.7105,0.133,0.6839,1
296,310,1731318,1731347,224,34,30,26255,108,127,1690,0,1,70,0.3503,0.4483,0.4828,0.0083,0.4118,0.9667,1.0,2.3503,1.1461,1.4624,0.5172,-0.0843,0.6663,1
39,208,1402211,1402348,10904,617,334,1261668,28,141,1402,0,1,40,0.0556,0.529,0.8106,0.1205,0.2739,0.4102,0.0,4.0376,2.2279,2.1367,-0.1893,-0.096,1.0,0
39,189,47299,47376,5757,240,136,600689,38,133,1358,0,1,40,0.0574,0.5016,0.5133,0.1105,0.625,0.5662,0.0,3.7602,2.1761,1.8865,-0.4867,-0.1848,1.0,0
35,75,2412964,2412966,65,40,3,8355,85,165,1688,1,0,70,0.0415,0.1875,0.05,0.0237,1.0,0.6667,0.0,1.8129,1.6021,0.301,-0.95,0.0042,0.1852,1
892,903,908164,908176,92,12,12,14703,128,175,1387,0,1,40,0.6979,0.303,0.9167,0.0079,0.9167,1.0,1.0,1.9638,1.0414,1.0792,0.0833,0.2486,0.2432,0
39,173,2616577,2616725,8344,558,338,945879,52,141,1400,0,1,40,0.0557,0.5793,0.9054,0.0957,0.2401,0.4379,1.0,3.9214,2.1271,2.1703,0.0946,-0.1144,1.0,0
45,62,323844,323852,62,24,14,7716,117,134,1360,0,1,200,0.0662,0.5441,0.4706,0.0125,0.7083,0.5714,0.0,1.7924,1.2305,0.9031,-0.5294,-0.0277,0.2482,1
340,352,573781,573792,103,14,11,11535,85,133,1694,1,0,80,0.4014,0.2197,0.9167,0.0071,0.8571,1.0,0.0,2.0128,1.0792,1.0414,-0.0833,-0.1251,0.2432,1
1064,1079,406616,406673,419,40,60,44609,97,119,1353,0,1,70,0.405,0.5099,0.2632,0.0111,0.375,0.95,1.0,2.6222,1.1761,1.7559,0.7368,-0.1682,0.9755,1
123,132,785268,785285,78,15,17,11382,129,157,1658,1,0,143,0.1484,0.4902,0.5294,0.0054,0.6,1.0,1.0,1.8921,0.9542,1.2305,0.4706,0.14,0.2699,1
39,188,1597511,1597679,13612,579,357,1577022,30,141,1400,0,1,40,0.0557,0.4562,0.8869,0.1064,0.2573,0.4706,1.0,4.1339,2.1732,2.2253,0.1131,-0.0949,1.0,0
39,217,1803992,1804079,6816,333,162,699635,36,126,1358,0,1,40,0.0574,0.5599,0.4888,0.1311,0.5345,0.537,0.0,3.8335,2.2504,1.9395,-0.5112,-0.1981,1.0,0
1144,1158,113260,113277,120,26,17,15146,117,140,1372,0,1,40,0.3119,0.4958,0.8235,0.0102,0.5385,1.0,1.0,2.0792,1.1461,1.2305,0.1765,-0.0139,0.3945,1
625,631,1934306,1934337,127,19,31,13897,99,125,1364,0,1,100,0.9164,0.3172,0.1936,0.0044,0.3158,1.0,1.0,2.1038,0.7782,1.4914,0.8065,-0.1451,0.3154,1
41,213,2740809,2740889,6532,356,186,685717,43,134,1358,0,1,40,0.0604,0.5253,0.4651,0.1267,0.4832,0.4301,0.0,3.815,2.2355,1.9031,-0.5349,-0.1799,1.0,0
767,784,45270,45288,182,22,18,14763,72,93,1630,0,1,140,0.9411,0.4052,0.9444,0.0104,0.7727,1.0,1.0,2.2601,1.2305,1.2553,0.0556,-0.3663,0.5063,1
41,220,1679793,1679864,6519,331,159,674120,41,124,1356,0,1,40,0.0605,0.4871,0.3966,0.132,0.5408,0.4465,0.0,3.8142,2.2529,1.8513,-0.6033,-0.1921,1.0,0
382,392,172773,172798,137,18,26,23072,161,175,1353,0,1,100,0.5647,0.452,0.4,0.0074,0.5556,0.9615,1.0,2.1367,1.0,1.3979,0.6,0.3157,0.4138,1
39,195,1863816,1864008,13037,623,387,1505833,35,143,1402,0,1,40,0.0556,0.5647,0.8125,0.1113,0.2504,0.4961,1.0,4.1152,2.1931,2.2833,0.1875,-0.0976,1.0,0
51,172,320720,320767,3671,175,89,379850,46,124,1360,0,1,40,0.075,0.3545,0.3884,0.089,0.6914,0.5281,0.0,3.5648,2.0828,1.6721,-0.6116,-0.1916,1.0,0
408,416,945792,945807,81,11,15,9462,107,125,1360,0,1,130,0.6,0.325,0.5333,0.0059,0.7273,1.0,1.0,1.9085,0.9031,1.1761,0.4667,-0.0874,0.2288,1
21,39,3411415,3411438,201,46,28,23925,112,126,1364,0,1,40,0.0308,0.5145,0.7826,0.0132,0.3913,0.8214,1.0,2.3032,1.2553,1.3617,0.2174,-0.0701,0.6781,1
37,181,210633,210681,4487,219,106,470618,40,127,1360,0,1,40,0.0544,0.3508,0.3333,0.1059,0.6575,0.4528,0.0,3.652,2.1584,1.6812,-0.6667,-0.1806,1.0,0
41,190,462709,462786,6232,250,130,648220,48,133,1356,0,1,40,0.0605,0.4568,0.5168,0.1099,0.596,0.5923,0.0,3.7946,2.1732,1.8865,-0.4832,-0.1874,1.0,0
721,732,5169308,5169335,226,12,27,24102,84,133,1373,0,1,40,0.9337,0.2391,0.4074,0.008,0.9167,1.0,1.0,2.3541,1.0414,1.4314,0.5926,-0.1668,0.4913,1
1379,1396,2128940,2128956,126,33,22,16498,116,148,1666,1,0,100,0.3241,0.5368,0.9412,0.0102,0.5152,0.7273,0.0,2.1004,1.2305,1.2041,-0.0588,0.0229,0.4498,1
1568,1584,195161,195188,192,44,28,24070,112,140,1692,0,1,300,0.1277,0.5556,0.5926,0.0095,0.3636,0.9643,1.0,2.2833,1.2041,1.4314,0.4074,-0.0206,0.7037,1
1275,1300,883635,883640,73,28,14,9247,111,143,1692,1,0,143,0.4634,0.416,0.2,0.0148,0.8929,0.3571,0.0,1.8633,1.3979,0.699,-0.8,-0.0104,0.2348,1
273,298,473262,473272,94,30,18,11877,117,143,1366,0,1,40,0.3997,0.624,0.4,0.0183,0.8333,0.5556,0.0,1.9731,1.3979,1.0,-0.6,-0.0129,0.4138,1
1073,1078,372724,372744,73,15,20,8836,110,134,1356,0,1,175,0.41,0.27,0.25,0.0037,0.3333,1.0,1.0,1.8633,0.699,1.301,0.75,-0.0544,0.2061,1
798,808,225718,225742,170,23,24,21545,118,141,1370,0,1,40,0.8204,0.2917,0.4167,0.0073,0.4348,1.0,1.0,2.2304,1.0,1.3802,0.5833,-0.0099,0.3977,1
623,632,2030688,2030738,319,31,50,36546,101,133,1364,0,1,100,0.9135,0.2911,0.18,0.0066,0.2903,1.0,1.0,2.5038,0.9542,1.699,0.82,-0.105,0.7281,1
37,217,1825287,1825355,6605,310,151,684731,38,126,1356,0,1,40,0.0546,0.4604,0.3778,0.1327,0.5806,0.4503,0.0,3.8199,2.2553,1.8325,-0.6222,-0.1901,1.0,0
43,198,686245,686304,6227,205,117,644765,38,124,1358,0,1,40,0.0633,0.3191,0.3807,0.1141,0.7561,0.5043,0.0,3.7943,2.1903,1.7708,-0.6194,-0.1911,1.0,0
39,195,2431945,2432111,8709,578,322,996980,47,141,1402,0,1,40,0.0556,0.6637,0.9398,0.1113,0.2699,0.5155,1.0,3.94,2.1931,2.2201,0.0602,-0.1057,1.0,0
130,188,2638000,2638062,1685,181,101,208514,115,135,1358,0,1,40,0.1915,0.5314,0.9355,0.0427,0.3204,0.6139,1.0,3.2266,1.7634,1.7924,0.0645,-0.0332,1.0,0
1194,1219,172567,172592,204,68,38,25491,114,141,1358,0,1,40,0.2047,0.6736,1.0,0.0184,0.3677,0.6579,0.5,2.3096,1.3979,1.3979,0.0,-0.0238,0.8958,1
41,221,1889165,1889228,6490,282,140,669614,36,124,1356,0,1,40,0.0605,0.4277,0.35,0.1327,0.6383,0.45,0.0,3.8122,2.2553,1.7993,-0.65,-0.1939,1.0,0
284,357,2286293,2286298,202,73,17,24816,116,134,1360,0,1,40,0.4177,0.4466,0.0685,0.0537,1.0,0.2941,0.0,2.3054,1.8633,0.699,-0.9315,-0.0402,0.6031,1
96,172,728912,728995,2406,231,168,301138,116,140,1358,0,1,40,0.1414,0.6186,0.9157,0.056,0.329,0.494,1.0,3.3813,1.8808,1.9191,0.0843,-0.0222,1.0,0
1613,1622,1752541,1752560,116,17,19,9105,65,94,1658,1,0,80,0.0434,0.3216,0.4737,0.0054,0.5294,1.0,1.0,2.0645,0.9542,1.2787,0.5263,-0.3868,0.2942,1
237,252,109868,109903,301,42,35,29002,89,103,1692,0,1,300,0.2801,0.4267,0.4286,0.0089,0.3571,1.0,1.0,2.4786,1.1761,1.5441,0.5714,-0.2473,0.8153,1
1098,1115,2293200,2293208,59,21,8,6318,97,118,1360,1,0,80,0.3603,0.5662,0.4706,0.0125,0.8095,1.0,0.0,1.7708,1.2305,0.9031,-0.5294,-0.1634,0.2482,1
246,262,267240,267297,549,54,58,60860,94,124,1692,0,1,300,0.2908,0.398,0.2807,0.0095,0.2963,0.9828,1.0,2.7396,1.2041,1.7559,0.7193,-0.1339,0.9831,1
484,555,1466087,1466141,1241,183,102,22191,0,37,1650,1,0,69,0.5867,0.6763,0.7606,0.043,0.388,0.5294,0.0,3.0938,1.8513,1.7324,-0.2394,-0.8603,1.0,1
614,622,2215716,2215730,68,13,14,7990,109,133,1364,0,1,100,0.9003,0.3929,0.5714,0.0059,0.6154,1.0,1.0,1.8325,0.9031,1.1461,0.4286,-0.082,0.2195,1
1118,1130,2673603,2673616,118,16,13,14120,103,253,1358,0,1,40,0.3358,0.2436,0.9231,0.0088,0.75,1.0,1.0,2.0719,1.0792,1.1139,0.0769,-0.0652,0.2739,1
41,205,2133677,2133849,11542,757,441,1338028,42,140,1402,0,1,40,0.0585,0.5908,0.9535,0.117,0.2166,0.39,1.0,4.0623,2.2148,2.2355,0.0465,-0.0943,1.0,0
1267,1303,214065,214075,160,40,18,20199,117,140,1690,0,1,70,0.458,0.5556,0.2778,0.0213,0.9,0.5556,0.0,2.2041,1.5563,1.0,-0.7222,-0.0137,0.5951,1
619,659,1292098,1292100,60,40,4,7750,102,164,1690,1,0,70,0.7325,0.25,0.05,0.0237,1.0,0.5,0.0,1.7781,1.6021,0.301,-0.95,0.0091,0.1852,1
41,226,695578,695788,17706,802,537,2147442,24,148,1404,0,1,40,0.0584,0.5443,0.8809,0.1318,0.2307,0.3911,1.0,4.2481,2.2672,2.3222,0.1191,-0.0525,1.0,0
126,165,75758,75777,384,70,42,47481,115,135,1358,0,1,40,0.1856,0.4818,0.4872,0.0287,0.5571,0.4524,0.0,2.5843,1.5911,1.2787,-0.5128,-0.034,0.9491,0
951,961,494451,494461,81,11,10,13311,141,182,1387,0,1,40,0.6143,0.19,1.0,0.0072,0.9091,1.0,0.5,1.9085,1.0,1.0,0.0,0.2839,0.2061,0
251,275,256288,256329,430,73,59,49094,93,127,1692,0,1,300,0.2967,0.563,0.5854,0.0142,0.3288,0.6949,1.0,2.6335,1.3802,1.6128,0.4146,-0.108,0.9895,1
834,884,283101,283128,359,71,43,31349,73,116,1360,1,0,300,0.7,0.7341,0.54,0.0368,0.7042,0.6279,0.0,2.5551,1.699,1.4314,-0.46,-0.3178,0.9991,1
630,649,5015327,5015357,249,32,31,17250,49,87,1356,1,0,200,0.9292,0.5632,0.6333,0.014,0.5938,0.9677,1.0,2.3962,1.2787,1.4771,0.3667,-0.4588,0.8563,1
39,212,1185602,1185752,13387,763,425,1546189,29,141,1398,0,1,40,0.0558,0.4841,0.867,0.1238,0.2267,0.3529,0.0,4.1267,2.238,2.1761,-0.1329,-0.0977,1.0,0
1126,1134,2636449,2636459,59,11,10,6936,102,135,1656,1,0,100,0.6304,0.2625,0.8,0.0048,0.7273,1.0,1.0,1.7708,0.9031,1.0,0.2,-0.0816,0.1852,1
38,64,506976,507152,1760,174,180,178588,87,124,1360,0,1,200,0.0559,0.6154,0.1477,0.0191,0.1494,0.9778,1.0,3.2455,1.415,2.2455,0.8523,-0.2073,1.0,1
145,171,233467,233671,1994,214,220,236010,104,135,1394,0,1,220,0.208,0.6241,0.1275,0.0187,0.1215,0.9273,1.0,3.2997,1.415,2.3096,0.8726,-0.0753,1.0,1
453,471,1395724,1395753,366,34,29,37407,80,132,1360,0,1,130,0.6662,0.2988,0.6207,0.0132,0.5294,1.0,1.0,2.5635,1.2553,1.4624,0.3793,-0.2015,0.8123,1
39,185,2442600,2442673,5576,235,133,598862,43,135,1400,0,1,40,0.0557,0.4768,0.5,0.1043,0.6213,0.5489,0.0,3.7463,2.1644,1.8633,-0.5,-0.1609,1.0,0
39,226,876673,876871,18954,749,482,2236201,25,143,1400,0,1,40,0.0557,0.4881,0.9444,0.1336,0.2497,0.4108,1.0,4.2777,2.2718,2.2967,0.0556,-0.0783,1.0,0
767,788,566837,566850,83,28,20,10345,115,141,1362,0,1,40,0.8429,0.696,0.6191,0.0154,0.75,0.65,0.0,1.9191,1.3222,1.1139,-0.381,-0.0263,0.4514,1
39,219,1516553,1516628,6999,285,165,732196,43,126,1358,0,1,40,0.0574,0.4816,0.4167,0.1326,0.6316,0.4545,0.0,3.845,2.2553,1.8751,-0.5833,-0.1827,1.0,0
1495,1560,123779,123815,1002,97,64,99456,87,116,1633,0,1,300,0.0894,0.5718,0.5538,0.0398,0.6701,0.5625,0.0,3.0009,1.8129,1.5563,-0.4462,-0.2245,1.0,1
620,637,2020002,2020117,695,99,117,88065,111,141,1364,0,1,100,0.9091,0.6445,0.1478,0.0125,0.1717,0.9829,1.0,2.842,1.2305,2.0607,0.8522,-0.0101,1.0,1
1,250,115072,115195,15650,943,539,1732196,23,140,1378,0,1,40,0.0014,0.489,0.494,0.1807,0.2641,0.2282,0.0,4.1945,2.3962,2.0899,-0.506,-0.1353,1.0,0
41,191,1611713,1611861,12477,560,331,1442027,36,141,1400,0,1,40,0.0586,0.438,0.9867,0.1071,0.2679,0.4471,0.0,4.0961,2.1761,2.1703,-0.0133,-0.0971,1.0,0
1110,1118,2817680,2817695,77,11,15,8602,98,125,1692,1,0,70,0.6785,0.3583,0.5333,0.0047,0.7273,1.0,1.0,1.8865,0.9031,1.1761,0.4667,-0.1272,0.2288,1
1361,1380,183725,183734,103,28,13,10477,95,111,1690,0,1,70,0.3669,0.3977,0.4737,0.0112,0.6786,0.6923,0.0,2.0128,1.2787,0.9542,-0.5263,-0.2053,0.2942,1
39,192,1586862,1587011,11505,577,349,1320194,27,142,1402,0,1,40,0.0556,0.4953,0.9739,0.1091,0.2652,0.4269,0.0,4.0609,2.1847,2.1732,-0.0261,-0.1035,1.0,0
79,86,2887095,2887114,86,17,19,9690,102,123,1350,1,0,70,0.117,0.3534,0.3684,0.0052,0.4118,1.0,1.0,1.9345,0.8451,1.2787,0.6316,-0.1197,0.2445,1
39,185,420136,420189,5003,196,91,522331,49,126,1360,0,1,40,0.0573,0.3535,0.363,0.1073,0.7449,0.5824,0.0,3.6992,2.1644,1.7243,-0.637,-0.1843,1.0,0
1261,1281,87951,87967,103,26,22,11682,101,133,1360,1,0,80,0.1162,0.6781,0.8,0.0147,0.7692,0.7273,0.0,2.0128,1.301,1.2041,-0.2,-0.1139,0.5296,1
1317,1327,222011,222032,145,16,21,13334,67,118,1650,1,0,100,0.3915,0.3095,0.4762,0.0061,0.625,1.0,1.0,2.1614,1.0,1.3222,0.5238,-0.2816,0.3509,1
182,211,402237,402266,268,98,55,35565,125,143,1364,0,1,40,0.2669,0.6813,1.0,0.0213,0.2959,0.5273,0.5,2.4281,1.4624,1.4624,0.0,0.0368,0.9732,1
1587,1602,211409,211458,323,51,53,33607,88,119,1692,0,1,300,0.1064,0.5605,0.3061,0.0089,0.2941,0.9245,1.0,2.5092,1.1761,1.6902,0.6939,-0.1871,0.9471,1
1672,1712,116120,116370,5323,245,395,460547,19,120,1715,0,1,50,0.0035,0.4677,0.16,0.0233,0.1633,0.6329,1.0,3.7262,1.6021,2.3979,0.84,-0.3241,1.0,1
971,980,74495,74519,148,19,24,16771,101,133,1362,0,1,175,0.5609,0.3148,0.375,0.0066,0.4737,1.0,1.0,2.1703,0.9542,1.3802,0.625,-0.1147,0.3601,1
134,156,178723,178731,101,31,21,12531,118,135,1362,0,1,40,0.1968,0.4261,0.3636,0.0161,0.7097,0.381,0.0,2.0043,1.3424,0.9031,-0.6364,-0.0307,0.3012,0
147,180,2765714,2765730,251,41,25,30451,115,132,1358,0,1,40,0.2165,0.5246,0.4848,0.0243,0.8049,0.64,0.0,2.3997,1.5185,1.2041,-0.5152,-0.0522,0.8183,0
474,486,1352048,1352060,73,14,12,7241,86,118,1652,1,0,70,0.5738,0.4931,1.0,0.0073,0.8571,1.0,0.5,1.8633,1.0792,1.0792,0.0,-0.2251,0.2583,1
616,622,2182058,2182079,82,14,21,9584,109,126,1366,0,1,100,0.9019,0.3492,0.2857,0.0044,0.4286,1.0,1.0,1.9138,0.7782,1.3222,0.7143,-0.0869,0.2359,1
